Marcaj de timp,În acest moment aveți calitatea de :,Vârsta : ,Câte tranzacții online ați efectuat în perioada (feb-aprilie 2021) ?,În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Posibilitatea de a realiza comparații],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Accesibilitatea 24/24],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Oportunitatea de a plăti un preț mai mic],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Acces la o gamă mai largă de produse],În ce masură contează pentru tine beneficiile achizitiilor online mentionate mai jos? [Abilitatea de a împărtăși experiențe pe rețelele de socializare],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Experiența personală],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Review-urile de pe site],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Opiniile celor apropiați],În ce masură sunteți influențat de factorii de mai jos atunci cand vrei sa realizezi achiziții online?  [Informația care ți-o oferă motoarele de căutare],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Brand-ul ],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Ușurința utilizării website-ului],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Politica de return],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Diversitatea gamei de produse],În ce masură conteaza elementele enumarate mai jos atunci când alegeți un magazin online?  [Posibilitatea de a urmări comanda],În ce masură obișnuiți sa vă documentați înainte de a plasa o comandă online? ,Ce categorie de produse cumpărați cel mai mult online? ,Cât de frecvent efectuați achiziții online pe lună?,În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Timpul de livrare nu a fost respectat],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Produsul a ajuns cu defecte],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Costuri mari cu livrarea],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Calitate inferioară],În ce masură ați întâmpinat problemele de mai jos atunci cand ați comandat un produs de pe internet? [Returnarea produsului a fost dificilă],Ce ați făcut atunci când ați întâlnit o problemă cu produsul achiziționat online?,"În urma experiențelor dvs.  privind achizițiile online, care considerați ca a fost cea mai bună? De ce?",Dar cea mai puțin bună? De ce?,Numărul mediu pe care îl petreceți online (înafara cursurilor online).,Nivelul de studii  absolvit :,Genul :
2021/04/27 7:19:54 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,4,5,5,1,5,3,4,2,3,4,4,4,2,3,Haine și încăltăminte,o dată pe săptămână,3,2,2,3,1,Am povestit persoanelor apropiate despre experiența negativă.,atunci cand am putut sa cumpar si sa returnez gratis produsele pentru ca asa te decizi mai usor in momentul in care cumperi ceva ,"atunci cand produsele au avut o calitate inferioara iar returnarea, desi facila, presupunea costuri mari de transport ",Între 2-3 ore,Studii liceale,Feminin
2021/04/27 7:23:56 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,5,4,5,5,1,5,4,4,3,3,3,3,4,5,4,Accesorii / produse de îngrijire personală,o dată pe săptămână,4,1,3,1,1,Nu am luat nicio acțiune.,"Cea mai buna a fost pe un site de cosmetice, pe www.isntree.ro, deoarece site-ul e ușor de utilizat și comanda a ajuns repede. ",Cea mai puțin buna a fost tot una de cosmetice pentru ca au ajuns târziu și produsele au lipsit mult din stoc. ,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 7:27:29 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:27:39 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:29:28 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,3,3,5,4,1,4,4,3,3,4,4,2,3,4,4,Haine și încăltăminte,o dată pe lună,2,2,2,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,Tableta Apple la pret de black-friday.,Am facut niste cumparaturi de pe Aliexperss. Nu au mai ajuns niciodata.,Mai mult de 3 ore,Studii universitare,Masculin
2021/04/27 7:32:48 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:39:49 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,5,2,2,2,4,4,4,4,4,4,5,5,4,4,Mâncare,o dată pe lună,4,2,3,1,2,Am comunicat cu vanzătorul online pentru a remedia situația.,.,.,Între 2-3 ore,Studii liceale,Feminin
2021/04/27 7:44:11 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,3,3,3,2,3,3,3,3,4,4,5,5,4,2,Cărți și reviste,o dată pe lună,5,2,2,2,4,Am comunicat cu vanzătorul online pentru a remedia situația.,Un accesoriu de par ,Jucării ,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 7:47:54 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:49:30 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,1,4,5,1,5,3,4,1,3,2,5,5,5,4,Haine și încăltăminte,o dată pe lună,2,3,1,3,1,Nu am luat nicio acțiune.,-,-,Între 2-3 ore,Studii universitare,Feminin
2021/04/27 7:50:57 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,Haine și încăltăminte,de 2-3 ori pe lună,3,3,3,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,Când am cumpărat pantofi. Livrarea a fost optimă. ,Am primit coletul foarte târziu.,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 7:52:58 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,2,4,4,4,1,1,4,3,3,2,4,4,4,4,3,Accesorii / produse de îngrijire personală,o dată pe lună,4,3,4,4,4,Am comunicat cu vanzătorul online pentru a remedia situația.,"Acizitii de pe siteuri populare, reviewuri bune",La fel de pe siteuri populare din cauza ca nu am primit produsele si nici banii nu au fost rambursati,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 7:53:43 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:59:12 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 7:59:13 p.m. GMT+3,Student,25 - 30 ani,Peste 5 tranzacții online,4,5,3,4,4,4,4,3,3,3,4,2,3,3,4,Mâncare,o dată pe săptămână,2,2,3,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Nu știu... Mâncarea nu stau sa o fac, până la Oradea nu merg ca sa iau doua monede, iar un aspirator e mai ușor să îți fie adus decât să îl cari.",Când am primit mâncare stricată sau de gramaj mai mic decât comandasem. :)),Mai mult de 3 ore,Studii universitare,Masculin
2021/04/27 8:00:37 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:00:59 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,4,5,5,5,4,5,4,5,2,3,4,5,5,5,4,Haine și încăltăminte,o dată pe săptămână,2,2,1,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,O comanda de produse coametice plasate in jurul orei 15 livrata a doua zi de dimineata si cu o felicitare personalizata.,"Comanda ajunsa in 2 zile in orasul in care trebuia librata, dar a stat 2 saptamani in depozitul curierului. ",Între 2-3 ore,Studii universitare,Feminin
2021/04/27 8:03:32 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,4,4,5,5,4,5,4,4,4,5,5,4,4,4,4,Haine și încăltăminte,o dată pe lună,2,2,3,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,Nu știu ,Nu știu ,Mai puțin de 2 ore,Studii liceale,Feminin
2021/04/27 8:03:49 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:11:50 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:16:01 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:24:07 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:37:30 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:38:06 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:43:59 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,2,1,2,3,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Toate comenzile plasate pe Aliexpress..Aceleași produse din tara noastră, dar la un preț mai mic. ",Comenzile de mâncare.. Ar trebui sa gătesc în loc sa dau banii aiurea 🤣,Între 2-3 ore,Studii universitare,Feminin
2021/04/27 8:45:36 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,3,3,3,1,4,5,3,3,5,4,4,5,4,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,2,2,3,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Achizitia electrocasnicelor,Achizitia de incaltaminte care nu s-a potrivit iar vanzatorul nu a mai raspuns,Între 2-3 ore,Studii universitare,Feminin
2021/04/27 8:46:38 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:48:22 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,Haine și încăltăminte,de 2-3 ori pe lună,4,2,2,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,Cea mai buna experienta a fost cu cei de la FashionDays pentru ca sunt o firma de incredere ,Am comandat o data un set de oje semipermanente iar una dintre ele a venit sparta. Procedura de returnare a fost una extrem de greoaie,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 8:48:22 p.m. GMT+3,Student,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 8:49:21 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,3,4,4,2,4,3,3,3,3,3,3,3,3,3,Accesorii / produse de îngrijire personală,o dată pe lună,3,3,4,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Farmacia tei. Q cosmetice coreene-livrare prompta, produse de calitate","Fashion days- marime nu se potriveau, a fost necesar retur de 3 ori",Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/27 8:57:16 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,5,5,5,3,5,3,4,3,4,5,5,5,3,4,Haine și încăltăminte,o dată pe lună,3,1,3,3,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Cand am cumpărat șlapi de plaja in val. Max de 120 lei si am primit încălțămintea Nike in valoare de 700 lei, care erau acelas numar. Lucky me😂","Cand am comandat de pe Wish un ceas fitness si am primit doar bratara. 😂
",Între 2-3 ore,Studii universitare,Masculin
2021/04/27 9:08:19 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:15:40 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:27:39 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,2,4,4,4,1,1,4,3,3,2,4,4,4,4,3,Accesorii / produse de îngrijire personală,o dată pe lună,4,3,4,4,4,Am comunicat cu vanzătorul online pentru a remedia situația.,"Acizitii de pe siteuri populare, reviewuri bune",La fel de pe siteuri populare din cauza ca nu am primit produsele si nici banii nu au fost rambursati,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 9:33:10 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,5,3,5,1,4,3,,4,3,5,2,3,4,5,Electrocasnice,de 2-3 ori pe lună,2,2,2,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Libris, au fost draguti",Un sitedubios de tricouri din Cipru. De fapt erau intermediari si tricourile au venit din rusia si a trebuit sa merg sa le ridic de la posta vamala.,Mai mult de 3 ore,Studii post-universitare,Masculin
2021/04/27 9:35:22 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,3,5,5,5,4,3,2,3,3,4,5,4,4,3,2,Haine și încăltăminte,de 2-3 ori pe lună,3,2,5,2,3,Am comunicat cu vanzătorul online pentru a remedia situația.,Magazinul AboutYou returnează foarte repede banii.,H&M durează mult comanda ,Mai puțin de 2 ore,Studii universitare,Feminin
2021/04/27 9:37:41 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,5,4,5,4,1,5,4,4,3,3,5,4,5,4,4,Haine și încăltăminte,o dată pe săptămână,1,1,1,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Tot timpul cand comand de pe h&m, sunt foarte promti",cand am trecur ultima cifra de la nr de telefon gresita si nu am primit mail ca nu raspund la telefon aau ceva,Mai puțin de 2 ore,Studii universitare,Feminin
2021/04/27 9:37:43 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:41:10 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:41:28 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:41:37 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,3,5,4,1,5,3,5,2,3,3,5,5,5,4,Haine și încăltăminte,de 2-3 ori pe lună,2,2,3,1,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Cea mai buna achiziție online a fost legată de diferite produse cosmetice/skincare deoarece nu au existat probleme de genul mărime gresita, cusături defecte precum am întâlnit la haine","Cea mai puțin buna experiența a fost cu o firma cunoscuta însă care are sediul in Praga, fiind nevoie de un retur, acesta a durat peste o luna, iar banii nu mi-au fost trimiși rapid in cont, făcându-ma sa cred ca i-am pierdut",Între 2-3 ore,Studii liceale,Feminin
2021/04/27 9:49:02 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:49:39 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,3,4,3,3,4,3,3,3,3,5,3,4,5,5,Haine și încăltăminte,de 2-3 ori pe lună,5,3,5,4,3,Am comunicat cu vanzătorul online pentru a remedia situația.,Cărți,O comandă About You,Între 2-3 ore,Studii liceale,Feminin
2021/04/27 9:52:58 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:53:25 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:53:38 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:55:42 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 9:56:55 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,5,5,5,1,5,3,3,1,2,4,5,4,5,5,Accesorii / produse de îngrijire personală,o dată pe săptămână,4,1,3,4,1,Am comunicat cu vanzătorul online pentru a remedia situația.,_,Când a întârziat curierul foarte mult și am mers la sediu și mi s-a zis că pachetul meu este în depozit dar nu au idee unde. Nu mai comand prin Cargus niciodată. ,Mai mult de 3 ore,Studii post-universitare,Feminin
2021/04/27 9:58:03 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,2,3,3,3,1,5,4,4,3,5,4,3,2,5,5,Cărți și reviste,de 2-3 ori pe lună,4,3,1,3,2,Am comunicat cu vanzătorul online pentru a remedia situația.,Tot ce cumpăr de pe eMAG ajunge repede și in stare perfecta.,Am comandat de la Flanco de doua ori și de doua ori am primit pachetul lovit și cutia foarte rupta. Partea proasta este ca de fiecare data comanda era pentru un cadou și toată surpriza pregătită a fost afectată negativ. ,Între 2-3 ore,Studii post-universitare,Feminin
2021/04/27 10:01:54 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 10:04:30 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 10:04:50 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 10:05:13 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,4,4,4,4,2,5,5,4,5,5,5,5,5,5,4,Cărți și reviste,de 2-3 ori pe lună,2,3,3,3,4,Am comunicat cu vanzătorul online pentru a remedia situația.,"Produsele comandata de pe site-ul celor de la Carturesti au ajuns mereu in stare foarte buna, ofera împachetare pentru cadou gratuit iar costul de livrare nu se mai aplica de la anumita suma, modică, după parerea mea.","Comenzile de la eMag sunt destul de problematice, un anumit produsba trebuit sa il returnez de 2 ori din cauza defectelor, iar livrarea este gratuita doar de la o suma destul de mare. Exista mereu si acel tarif de procesare al comenzii.",Mai mult de 3 ore,Studii universitare,Masculin
2021/04/27 10:15:39 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,5,5,5,4,5,5,3,3,5,5,5,5,5,Accesorii / produse de îngrijire personală,o dată pe săptămână,5,4,3,3,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Produse de beauty comandate din SUA, ajunse in maxim 14 zile in posesia mea. Am beneficiat de transport gratuit.",Produse comandate de pe site-uri asiatice. Dureaza prea mult timp sa ajunga produsele.,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 10:16:57 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 10:20:50 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 10:23:17 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 10:28:54 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,5,5,3,5,2,5,5,5,3,5,5,3,5,5,5,Mâncare,o dată pe lună,2,1,4,4,1,Încă nu am avut probleme,"La Carturesti, când am primit cartea împachetată in cutie de cadou ",Când am modificat adresa de livrare și a întârziat foarte mult,Mai puțin de 2 ore,Studii universitare,Masculin
2021/04/27 10:34:17 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,4,2,5,5,3,5,4,4,2,4,4,2,4,4,4,Haine și încăltăminte,de 2-3 ori pe lună,2,1,1,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Printre achizițiile mele cele mai bune se numără hainele cumpărate de pe platforma AboutYou, datorită varietății de firme și produse, prețuri avantajoase și coduri de reducere, precum și datorită livrării rapide, fără costuri de transport sau de retur. ","Cea mai puțin bună a fost o comandă de produse pentru casă de pe un site deloc cunoscut, când nu am primit ceea ce am comandat și nu am putut contacta firma pentru o perioadă de timp, dar nici atunci când mi-au retrimis produsul nu a fost cel bun. ",Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 10:37:13 p.m. GMT+3,Student,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 10:44:35 p.m. GMT+3,Student,18 - 21 ani,Peste 5 tranzacții online,3,1,3,3,1,5,4,3,3,3,5,4,5,5,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe săptămână,3,1,4,2,2,Am comunicat cu vanzătorul online pentru a remedia situația.,Achiziționarea unor produse de skincare de pe QCosmetics pt ca am primit multe produse gratis din partea echipei.,Achiziționarea unui MacBook de pe site-ul IStyle deoarece timpul de livrare al comenzii a fost depășit cu aproximativ o luna fata de data la care trebuia sa îmi fie livrat laptopul.,Între 2-3 ore,Studii liceale,Feminin
2021/04/27 10:52:19 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 11:00:52 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,3,4,2,4,3,4,4,2,1,2,4,2,4,1,5,Haine și încăltăminte,o dată pe lună,4,1,3,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,Timpul este mai scurt,Costul de livrare,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 11:02:30 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Peste 5 tranzacții online,2,5,3,5,2,5,4,3,3,4,5,3,5,5,3,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,2,1,1,1,1,Am comunicat cu vanzătorul online pentru a remedia situația.,In relație cu un magazin de pantofi. Politica de retur foarte rapida și usoara,Nu am avut experiente negative,Mai mult de 3 ore,Studii universitare,Feminin
2021/04/27 11:17:37 p.m. GMT+3,Student,22 - 24 ani,Peste 5 tranzacții online,2,5,3,4,4,5,5,5,5,3,5,4,5,3,5,Mâncare,o dată pe lună,4,2,4,4,3,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Mai mult de 3 ore,Studii liceale,Feminin
2021/04/27 11:18:53 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,4,5,5,1,5,4,4,4,5,3,5,3,3,4,Cărți și reviste,de 2-3 ori pe lună,3,2,2,3,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Acum ceva timp intr-o comanda facuta la sephora au trimis un produs gresit, am fost impresionata de promptitudinea cu care acestia au raspuns si au rezolvat problema 😊. Nu a fost necesar ca produsul “incurcat” sa ajunga la ei pentru a putea primii produsul bun. Am facut schimb la curier 😊
Deasemenea la melkior am facut o comanda (erau reduceri) si chiar daca in momentul realizarii comenzii produsele erau pe stoc am primit e-mail ca nu mai sunt pe stoc dar imi pot alege in locul acelor produse altele beneficind de aceeasi reducere (am apreciat faptul ca au facut acest lucru desi nu erau obligati )","Am comandat cateva produse de la Pupa, iar un produs nu a ajuns (pentru care defapt am pus comanda). Am reusit sa discut intr-un final cu cineva si mi s-a spus ca nu imi pot livra doar acel produs, dar imi pot trimite un voucher in valoare de x lei pe care il pot utiliza pentru comenzi de minim x lei. Eu imi doream acel produs (pe care sa il  comand din nou nu se incadra in suma minima pentru a utiliza voucherul) , restul produselor de care as fi avut nevoie au venit in comanda initiala . Deci nu am utilizat voucherul, intr-un fel ideea era sa comand si mai mult de la ei si nu m-a incantat. ",Între 2-3 ore,Studii post-universitare,Feminin
2021/04/27 11:21:40 p.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,3,3,3,1,5,4,4,4,5,4,5,5,2,5,Accesorii / produse de îngrijire personală,de 2-3 ori pe lună,4,2,5,4,3,Am comunicat cu vanzătorul online pentru a remedia situația.,-,-,Între 2-3 ore,Studii post-universitare,Feminin
2021/04/27 11:29:22 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 11:46:19 p.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/27 11:58:14 p.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 12:03:43 a.m. GMT+3,Student,18 - 21 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 12:05:22 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,4,4,4,4,2,5,5,2,5,3,3,3,5,3,3,Haine și încăltăminte,o dată pe lună,2,2,2,3,4,Am comunicat cu vanzătorul online pentru a remedia situația.,-,"Am cumpărat un produs de pe un site și a venit spart. Experiența neplăcuta a fost când a trebuit sa fac returul. Atâta din partea companiei, cât și din partea firmei se curierat. ",Între 2-3 ore,Studii post-universitare,Feminin
2021/04/28 12:05:56 a.m. GMT+3,Absolvent  de Studii Superioare,22 - 24 ani,Mai puțin de 5 tranzacții online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/04/28 12:11:00 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,3,3,4,4,4,5,5,5,4,3,5,4,5,5,5,Haine și încăltăminte,de 2-3 ori pe săptămână,2,1,2,2,1,Am comunicat cu vanzătorul online pentru a remedia situația.,"Momentul in care am achiziționat o pereche superba de cercei de aur, au fost peste așteptări.",Momentul in care am comandat ceva iar produsul a prezentat semne de uzura.,Între 2-3 ore,Studii post-universitare,Feminin
2021/04/28 12:11:39 a.m. GMT+3,Absolvent  de Studii Superioare,25 - 30 ani,Peste 5 tranzacții online,2,5,5,5,3,5,3,4,4,3,4,5,4,4,5,Cărți și reviste,o dată pe lună,2,2,1,3,2,Am comunicat cu vanzătorul online pentru a remedia situația.,"Comenzile la care primesc mici cadouri, fără să știu. Mă surprinde plăcut și mă încarcă de energie bună. ","Refuzul inițial al unui magazin de a-mi schimba produsul venit în altă culoare decât cea comandată, deși vina le aparținea. Au urmat negocieri (mi-au oferit un voucher/promisiunea că vor pune produsul corect în viitoarea comandă pe care o fac/să plătesc eu transportul). A trebuit să fac ""scandal"" ca să se rezolve în mod corect. Nu mai comanda niciodată de la ei. ",Mai mult de 3 ore,Studii universitare,Feminin
